Date	Price Open	Price Low	Price High	Price Close	Volume
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
					0
2011-06-30	3840.221608665	3840.221608665	3840.221608665	3840.221608665	377
2011-07-01	3653.544169355	3653.544169355	3653.544169355	3653.544169355	88
2011-07-04	3493.534935661	3493.534935661	3493.534935661	3493.534935661	33338
2011-07-05	3333.525701967	3333.525701967	3333.525701967	3333.525701967	489036
2011-07-06	3173.516468272	3173.516468272	3200.184673888	3173.516468272	1387940
2011-07-07	3040.175440193	3040.175440193	3040.175440193	3040.175440193	707094
2011-07-08	2906.834412115	2906.834412115	3040.175440193	3013.507234578	2792061
2011-07-11	3093.511851425	2960.170823346	3093.511851425	3013.507234578	175895
2011-07-12	2986.839028962	2880.166206499	2986.839028962	2880.166206499	1063309
2011-07-13	2800.161589652	2800.161589652	2986.839028962	2906.834412115	105795
2011-07-14	2826.829795268	2773.493384036	2880.166206499	2773.493384036	634549
2011-07-15	2666.820561573	2666.820561573	2773.493384036	2746.82517842	197454
2011-07-18	2666.820561573	2613.484150342	2720.156972805	2613.484150342	229793
2011-07-19	2613.484150342	2533.479533495	2666.820561573	2666.820561573	241284
2011-07-20	2666.820561573	2613.484150342	2693.488767189	2693.488767189	150913
2011-07-21	2720.156972805	2586.815944726	2720.156972805	2613.484150342	74056
2011-07-22	2613.484150342	2560.14773911	2613.484150342	2560.14773911	142201
2011-07-25	2506.811327879	2480.143122263	2613.484150342	2480.143122263	73056
2011-07-26	2400.138505416	2400.138505416	2480.143122263	2480.143122263	56964
2011-07-27	2480.143122263	2426.806711032	2506.811327879	2506.811327879	14224
2011-07-28	2560.14773911	2400.138505416	2560.14773911	2506.811327879	75212
2011-07-29	2480.143122263	2426.806711032	2480.143122263	2426.806711032	59787
2011-08-01	2480.143122263	2346.802094184	2480.143122263	2400.138505416	85680
2011-08-02	2400.138505416	2346.802094184	2426.806711032	2426.806711032	105861
2011-08-03	2320.133888569	2320.133888569	2426.806711032	2400.138505416	22270
2011-08-04	2426.806711032	2346.802094184	2506.811327879	2480.143122263	186853
2011-08-05	2480.143122263	2400.138505416	2533.479533495	2533.479533495	88192
2011-08-08	2480.143122263	2480.143122263	2533.479533495	2506.811327879	13091
2011-08-09	2506.811327879	2400.138505416	2506.811327879	2400.138505416	45140
2011-08-10	2400.138505416	2373.4702998	2400.138505416	2400.138505416	57809
2011-08-11	2346.802094184	2293.465682953	2400.138505416	2400.138505416	31983
2011-08-12	2400.138505416	2400.138505416	2453.474916647	2426.806711032	28693
2011-08-15	2480.143122263	2400.138505416	2480.143122263	2400.138505416	177
2011-08-16	2453.474916647	2400.138505416	2480.143122263	2480.143122263	38250
2011-08-17	2480.143122263	2426.806711032	2533.479533495	2506.811327879	65699
2011-08-18	2533.479533495	2506.811327879	2560.14773911	2533.479533495	105817
2011-08-19	2480.143122263	2426.806711032	2533.479533495	2533.479533495	127087
2011-08-22	2560.14773911	2533.479533495	2640.152355957	2533.479533495	106484
2011-08-23	2560.14773911	2453.474916647	2560.14773911	2453.474916647	46718
2011-08-24	2453.474916647	2426.806711032	2560.14773911	2480.143122263	82546
2011-08-25	2506.811327879	2426.806711032	2506.811327879	2506.811327879	95771
2011-08-26	2480.143122263	2480.143122263	2506.811327879	2506.811327879	64543
2011-08-29	2506.811327879	2506.811327879	2613.484150342	2613.484150342	108529
2011-08-30	2666.820561573	2666.820561573	2666.820561573	2666.820561573	11112
2011-08-31	2560.14773911	2533.479533495	2666.820561573	2666.820561573	118019
2011-09-01	2560.14773911	2560.14773911	2666.820561573	2666.820561573	171139
2011-09-05	2640.152355957	2533.479533495	2640.152355957	2533.479533495	126798
2011-09-06	2533.479533495	2533.479533495	2586.815944726	2533.479533495	52275
2011-09-07	2533.479533495	2533.479533495	2586.815944726	2560.14773911	16891
2011-09-08	2560.14773911	2560.14773911	2640.152355957	2560.14773911	75056
2011-09-09	2560.14773911	2453.474916647	2560.14773911	2480.143122263	69011
2011-09-12	2506.811327879	2506.811327879	2533.479533495	2506.811327879	29582
2011-09-13	2533.479533495	2533.479533495	2613.484150342	2613.484150342	172206
2011-09-14	2720.156972805	2720.156972805	2720.156972805	2720.156972805	2133219
2011-09-15	2853.498000883	2826.829795268	2853.498000883	2853.498000883	1583083
2011-09-16	2986.839028962	2986.839028962	2986.839028962	2986.839028962	284024
2011-09-19	3120.180057041	3120.180057041	3120.180057041	3120.180057041	159337
2011-09-20	3253.521085119	3200.184673888	3253.521085119	3200.184673888	1423790
2011-09-21	3066.843645809	3040.175440193	3306.857496351	3040.175440193	966715
2011-09-22	2933.502617731	2906.834412115	3066.843645809	3040.175440193	842850
2011-09-23	3120.180057041	2933.502617731	3120.180057041	2933.502617731	225570
2011-09-26	2933.502617731	2826.829795268	2933.502617731	2826.829795268	374439
2011-09-27	2906.834412115	2773.493384036	2906.834412115	2773.493384036	380018
2011-09-28	2800.161589652	2800.161589652	2906.834412115	2906.834412115	203033
2011-09-29	3040.175440193	2906.834412115	3040.175440193	3040.175440193	654063
2011-09-30	3093.511851425	2960.170823346	3093.511851425	3066.843645809	572072
2011-10-03	2986.839028962	2933.502617731	3066.843645809	2933.502617731	289825
2011-10-04	2826.829795268	2800.161589652	2880.166206499	2800.161589652	549713
2011-10-05	2773.493384036	2746.82517842	2800.161589652	2800.161589652	146335
2011-10-06	2853.498000883	2853.498000883	2933.502617731	2880.166206499	240061
2011-10-07	2853.498000883	2746.82517842	2880.166206499	2800.161589652	249396
2011-10-10	2746.82517842	2693.488767189	2800.161589652	2720.156972805	170539
2011-10-11	2746.82517842	2666.820561573	2746.82517842	2666.820561573	95771
2011-10-12	2613.484150342	2533.479533495	2666.820561573	2533.479533495	405867
2011-10-13	2533.479533495	2480.143122263	2586.815944726	2586.815944726	151647
2011-10-14	2586.815944726	2560.14773911	2613.484150342	2560.14773911	148935
2011-10-17	2640.152355957	2613.484150342	2666.820561573	2666.820561573	248641
2011-10-18	2666.820561573	2533.479533495	2666.820561573	2533.479533495	182230
2011-10-19	2560.14773911	2480.143122263	2560.14773911	2533.479533495	90992
2011-10-20	2480.143122263	2480.143122263	2586.815944726	2533.479533495	19958
2011-10-21	2586.815944726	2560.14773911	2613.484150342	2560.14773911	41718
2011-10-24	2560.14773911	2560.14773911	2640.152355957	2560.14773911	146468
2011-10-25	2613.484150342	2480.143122263	2613.484150342	2533.479533495	109795
2011-10-26	2533.479533495	2480.143122263	2533.479533495	2480.143122263	16758
2011-10-27	2480.143122263	2453.474916647	2480.143122263	2453.474916647	99260
2011-10-28	2506.811327879	2480.143122263	2560.14773911	2560.14773911	160404
2011-10-31	2613.484150342	2480.143122263	2613.484150342	2480.143122263	155581
2011-11-01	2480.143122263	2400.138505416	2480.143122263	2400.138505416	114618
2011-11-02	2426.806711032	2373.4702998	2426.806711032	2400.138505416	90815
2011-11-03	2373.4702998	2373.4702998	2453.474916647	2400.138505416	65944
2011-11-04	2480.143122263	2346.802094184	2480.143122263	2400.138505416	52986
2011-11-07	2346.802094184	2320.133888569	2426.806711032	2373.4702998	57587
2011-11-08	2293.465682953	2266.797477337	2346.802094184	2346.802094184	206656
2011-11-09	2266.797477337	2240.129271722	2320.133888569	2240.129271722	42718
2011-11-10	2186.79286049	2160.124654874	2213.461066106	2186.79286049	58965
2011-11-11	2133.456449259	2106.788243643	2240.129271722	2106.788243643	48207
2011-11-14	2080.120038027	2026.783626796	2106.788243643	2026.783626796	131399
2011-11-15	2080.120038027	2000.11542118	2080.120038027	2026.783626796	31494
2011-11-16	2000.11542118	1973.447215564	2080.120038027	1973.447215564	94482
2011-11-17	2053.451832411	1946.779009948	2053.451832411	1973.447215564	56075
2011-11-18	1920.110804333	1893.442598717	1920.110804333	1893.442598717	80413
2011-11-21	1920.110804333	1813.43798187	1920.110804333	1813.43798187	38295
2011-11-22	1786.769776254	1760.101570638	1840.106187486	1813.43798187	60898
2011-11-23	1866.774393101	1813.43798187	1893.442598717	1893.442598717	129954
2011-11-24	1920.110804333	1813.43798187	1920.110804333	1920.110804333	58142
2011-11-25	1840.106187486	1840.106187486	1893.442598717	1840.106187486	53697
2011-11-28	1866.774393101	1813.43798187	1893.442598717	1893.442598717	103750
2011-11-29	1973.447215564	1946.779009948	1973.447215564	1973.447215564	174095
2011-11-30	2026.783626796	1973.447215564	2026.783626796	1973.447215564	87014
2011-12-01	2026.783626796	1946.779009948	2026.783626796	1973.447215564	80146
2011-12-02	2000.11542118	2000.11542118	2026.783626796	2000.11542118	12513
2011-12-05	2000.11542118	2000.11542118	2080.120038027	2080.120038027	95793
2011-12-06	2080.120038027	2053.451832411	2133.456449259	2053.451832411	54497
2011-12-07	2026.783626796	1973.447215564	2053.451832411	2053.451832411	25804
2011-12-08	2053.451832411	2026.783626796	2053.451832411	2026.783626796	46896
2011-12-09	1973.447215564	1946.779009948	2000.11542118	1973.447215564	59432
2011-12-12	1920.110804333	1893.442598717	1946.779009948	1893.442598717	23492
2011-12-13	1920.110804333	1866.774393101	1920.110804333	1920.110804333	68166
2011-12-14	1920.110804333	1840.106187486	1920.110804333	1840.106187486	50008
2011-12-15	1840.106187486	1760.101570638	1840.106187486	1786.769776254	91748
2011-12-16	1840.106187486	1786.769776254	1866.774393101	1840.106187486	56053
2011-12-19	1840.106187486	1840.106187486	1866.774393101	1866.774393101	7245
2011-12-20	1786.769776254	1786.769776254	1840.106187486	1813.43798187	48585
2011-12-21	1840.106187486	1760.101570638	1840.106187486	1813.43798187	23159
2011-12-22	1760.101570638	1733.433365023	1760.101570638	1733.433365023	36828
2011-12-23	1786.769776254	1786.769776254	1786.769776254	1786.769776254	1222
2011-12-26	1706.765159407	1706.765159407	1760.101570638	1706.765159407	52430
2011-12-27	1653.428748175	1626.76054256	1653.428748175	1626.76054256	80346
2011-12-28	1706.765159407	1626.76054256	1706.765159407	1680.096953791	4245
2011-12-29	1706.765159407	1600.092336944	1706.765159407	1600.092336944	21470
2011-12-30	1680.096953791	1600.092336944	1680.096953791	1626.76054256	14624
2012-01-03	1653.428748175	1653.428748175	1706.765159407	1653.428748175	79368
2012-01-04	1733.433365023	1680.096953791	1733.433365023	1706.765159407	28160
2012-01-05	1680.096953791	1680.096953791	1706.765159407	1680.096953791	10779
2012-01-06	1706.765159407	1626.76054256	1706.765159407	1653.428748175	38161
2012-01-09	1653.428748175	1573.424131328	1706.765159407	1706.765159407	50475
2012-01-10	1706.765159407	1706.765159407	1786.769776254	1786.769776254	17847
2012-01-11	1760.101570638	1706.765159407	1813.43798187	1813.43798187	62721
2012-01-12	1786.769776254	1786.769776254	1840.106187486	1813.43798187	37206
